scan,rater_1,rater_2,rater_3,rater_4
sub-5939_ses-baseline__,yes,yes,yes,yes
sub-5946_ses-baseline__,yes,yes,yes,yes
sub-5947_ses-baseline__,yes,yes,yes,yes
sub-5956_ses-baseline__,yes,yes,no,no
sub-5976_ses-baseline__,yes,yes,yes,yes
sub-5977_ses-baseline__,yes,yes,yes,yes
sub-5979_ses-baseline__,yes,yes,yes,yes
sub-5987_ses-baseline__,yes,yes,yes,yes
sub-5997_ses-baseline__,no,yes,no,no
sub-6003_ses-baseline__,yes,yes,yes,yes
sub-6005_ses-baseline__,yes,yes,yes,yes
sub-6014_ses-baseline__,yes,yes,yes,yes
sub-6031_ses-baseline__,yes,yes,yes,yes
sub-6039_ses-baseline__,yes,yes,yes,yes
sub-6040_ses-baseline__,yes,yes,yes,yes
sub-6041_ses-baseline__,yes,yes,yes,yes
sub-6061_ses-baseline__,no,no,no,no
sub-6071_ses-baseline__,yes,yes,yes,yes
sub-6072_ses-baseline__,yes,yes,yes,yes
sub-6094_ses-baseline__,yes,yes,yes,yes
sub-6106_ses-baseline__,yes,yes,yes,yes
sub-6118_ses-baseline__,yes,yes,yes,yes
sub-6126_ses-baseline__,yes,yes,yes,yes
sub-6133_ses-baseline__,no,no,no,no
sub-6142_ses-baseline__,yes,yes,yes,yes
sub-6156_ses-baseline__,yes,yes,yes,yes
sub-6157_ses-baseline__,yes,yes,yes,yes
sub-6179_ses-baseline__,yes,yes,yes,yes
sub-6192_ses-baseline__,yes,yes,yes,yes
sub-6195_ses-baseline__,yes,yes,yes,yes
sub-6196_ses-baseline__,yes,yes,yes,yes
sub-6230_ses-baseline__,no,no,yes,no
sub-6234_ses-baseline__,yes,yes,yes,yes
sub-6236_ses-baseline__,yes,yes,yes,yes
sub-6240_ses-baseline__,yes,yes,yes,yes
sub-6241_ses-baseline__,no,yes,no,no
sub-6261_ses-baseline__,yes,yes,yes,yes
sub-6263_ses-baseline__,yes,yes,yes,yes
sub-6264_ses-baseline__,yes,yes,yes,yes
sub-6285_ses-baseline__,yes,yes,yes,yes
sub-6292_ses-baseline__,no,yes,no,no
sub-6327_ses-baseline__,yes,yes,yes,yes
sub-6329_ses-baseline__,yes,yes,yes,yes
sub-6336_ses-baseline__,yes,yes,yes,yes
sub-6340_ses-baseline__,yes,yes,yes,yes
sub-6369_ses-baseline__,yes,yes,yes,yes
sub-6374_ses-baseline__,yes,yes,yes,yes
sub-6378_ses-baseline__,yes,yes,yes,yes
sub-6379_ses-baseline__,yes,yes,yes,yes
sub-6386_ses-baseline__,yes,yes,yes,yes
sub-6407_ses-baseline__,yes,yes,yes,yes
sub-6409_ses-baseline__,no,no,no,no
sub-6427_ses-baseline__,yes,yes,yes,yes
sub-6431_ses-baseline__,yes,yes,yes,yes
sub-6441_ses-baseline__,yes,yes,yes,yes
sub-6454_ses-baseline__,yes,yes,yes,yes
sub-6471_ses-baseline__,yes,yes,no,no
sub-6489_ses-baseline__,yes,yes,yes,yes
sub-6491_ses-baseline__,yes,yes,yes,yes
sub-6492_ses-baseline__,no,no,no,no
sub-6494_ses-baseline__,yes,yes,yes,yes
sub-6498_ses-baseline__,no,no,no,no
sub-6502_ses-baseline__,yes,yes,yes,yes
sub-6509_ses-baseline__,yes,yes,yes,yes
sub-6513_ses-baseline__,yes,yes,yes,yes
sub-6514_ses-baseline__,yes,yes,yes,yes
sub-6520_ses-baseline__,yes,yes,yes,yes
sub-6524_ses-baseline__,yes,yes,yes,yes
sub-6525_ses-baseline__,yes,yes,yes,yes
sub-6526_ses-baseline__,yes,yes,yes,yes
sub-6530_ses-baseline__,yes,yes,yes,yes
sub-6534_ses-baseline__,yes,yes,yes,yes
sub-6550_ses-baseline__,no,no,no,no
sub-6558_ses-baseline__,yes,yes,yes,yes
sub-6583_ses-baseline__,yes,yes,yes,yes
sub-6585_ses-baseline__,yes,yes,yes,yes
sub-6599_ses-baseline__,yes,yes,yes,yes
sub-6602_ses-baseline__,yes,yes,yes,yes
sub-6614_ses-baseline__,yes,yes,yes,yes
sub-6630_ses-baseline__,yes,yes,yes,yes
sub-6636_ses-baseline__,yes,yes,yes,yes
sub-6651_ses-baseline__,yes,yes,yes,yes
sub-6652_ses-baseline__,yes,yes,yes,yes
sub-6665_ses-baseline__,yes,yes,yes,yes
sub-6672_ses-baseline__,yes,yes,yes,yes
sub-6683_ses-baseline__,yes,yes,yes,yes
sub-6689_ses-baseline__,yes,yes,yes,yes
sub-6692_ses-baseline__,yes,yes,yes,yes
sub-6695_ses-baseline__,yes,yes,yes,yes
sub-6712_ses-baseline__,no,yes,no,no
sub-6728_ses-baseline__,yes,yes,yes,yes
sub-6739_ses-baseline__,yes,yes,yes,yes
sub-6742_ses-baseline__,yes,yes,yes,yes
sub-6744_ses-baseline__,yes,yes,yes,yes
sub-6755_ses-baseline__,yes,yes,yes,yes
sub-6767_ses-baseline__,yes,yes,yes,yes
sub-6774_ses-baseline__,yes,yes,yes,yes
sub-6783_ses-baseline__,yes,yes,yes,yes
sub-6784_ses-baseline__,yes,yes,yes,yes
sub-6795_ses-baseline__,yes,yes,no,no
sub-6811_ses-baseline__,yes,yes,yes,yes
sub-6813_ses-baseline__,no,yes,no,no
sub-6817_ses-baseline__,yes,yes,yes,yes
sub-6819_ses-baseline__,no,yes,no,no
sub-6839_ses-baseline__,yes,yes,yes,yes
sub-6847_ses-baseline__,yes,yes,yes,yes
sub-6853_ses-baseline__,no,no,no,no
sub-6857_ses-baseline__,yes,yes,yes,yes
sub-6861_ses-baseline__,yes,yes,yes,yes
sub-6875_ses-baseline__,yes,yes,yes,yes
sub-6879_ses-baseline__,yes,yes,yes,yes
sub-6892_ses-baseline__,yes,yes,yes,yes
sub-6899_ses-baseline__,no,yes,no,no
sub-6905_ses-baseline__,yes,yes,yes,yes
sub-6907_ses-baseline__,yes,yes,yes,yes
sub-6929_ses-baseline__,no,yes,no,no
sub-6937_ses-baseline__,yes,yes,yes,yes
sub-6940_ses-baseline__,yes,yes,yes,yes
sub-6950_ses-baseline__,yes,yes,yes,yes
sub-6954_ses-baseline__,yes,yes,yes,yes
