scan,rater_1,rater_2,rater_3,rater_4
sub-8967_ses-baseline__,yes,yes,yes,yes
sub-8969_ses-baseline__,yes,yes,yes,yes
sub-8970_ses-month24__,yes,yes,yes,yes
sub-8974_ses-month48__,yes,yes,yes,yes
sub-8977_ses-baseline__,yes,yes,yes,yes
sub-8977_ses-month24__,yes,yes,yes,yes
sub-8977_ses-month72__,yes,yes,yes,yes
sub-8981_ses-month24__,yes,yes,yes,yes
sub-8983_ses-month48__,yes,yes,yes,yes
sub-9007_ses-month48__,yes,yes,yes,yes
sub-9013_ses-month24__,yes,yes,yes,yes
sub-9015_ses-baseline__,yes,yes,yes,yes
sub-9021_ses-baseline__,yes,yes,yes,yes
sub-9028_ses-month48__,yes,yes,yes,yes
sub-9030_ses-baseline__,yes,yes,yes,yes
sub-9032_ses-baseline__,yes,yes,yes,yes
sub-9034_ses-month48__,yes,yes,yes,yes
sub-9037_ses-month48__,yes,yes,yes,yes
sub-9041_ses-baseline__,yes,yes,yes,yes
sub-9047_ses-month48__,yes,yes,yes,yes
sub-9047_ses-month72__,no,no,no,no
sub-9050_ses-baseline__,yes,yes,yes,yes
sub-9054_ses-month72__,yes,yes,yes,yes
sub-9056_ses-baseline__,yes,yes,yes,yes
sub-9056_ses-month24__,yes,yes,yes,yes
sub-9064_ses-month48__,yes,yes,yes,yes
sub-9094_ses-month72__,yes,yes,yes,yes
sub-9097_ses-month48__,yes,yes,yes,yes
sub-9098_ses-baseline__,yes,yes,yes,yes
sub-9099_ses-month48__,yes,yes,yes,yes
sub-9103_ses-baseline__,yes,yes,yes,yes
sub-9106_ses-baseline__,yes,yes,yes,yes
sub-9106_ses-month72__,yes,yes,yes,yes
sub-9120_ses-baseline__,yes,yes,yes,yes
sub-9120_ses-month24__,yes,yes,yes,yes
sub-9124_ses-month48__,yes,yes,yes,yes
sub-9127_ses-baseline__,yes,yes,yes,yes
sub-9133_ses-baseline__,yes,yes,yes,yes
sub-9133_ses-month24__,yes,yes,yes,yes
sub-9134_ses-baseline__,yes,yes,yes,yes
sub-9141_ses-baseline__,yes,yes,yes,yes
sub-9143_ses-month24__,no,yes,no,no
sub-9149_ses-month24__,yes,yes,yes,yes
sub-9149_ses-month48__,yes,yes,yes,yes
sub-9154_ses-baseline__,yes,yes,yes,yes
sub-9169_ses-baseline__,yes,yes,yes,yes
sub-9180_ses-baseline__,yes,yes,yes,yes
sub-9183_ses-baseline__,yes,yes,yes,yes
sub-9185_ses-baseline__,yes,yes,yes,yes
sub-9191_ses-baseline__,yes,yes,yes,yes
sub-9191_ses-month48__,yes,yes,yes,yes
sub-9199_ses-baseline__,yes,yes,yes,yes
sub-9199_ses-month24__,yes,yes,yes,yes
sub-9214_ses-baseline__,yes,yes,yes,yes
sub-9248_ses-month24__,yes,yes,yes,yes
sub-9285_ses-month48__,yes,yes,yes,yes
sub-9297_ses-month24__,yes,yes,yes,yes
sub-9298_ses-month24__,yes,yes,yes,yes
sub-9298_ses-month72__,yes,yes,yes,yes
sub-9325_ses-baseline__,yes,yes,yes,yes
sub-9327_ses-baseline__,yes,yes,yes,yes
sub-9343_ses-baseline__,yes,yes,yes,yes
sub-9355_ses-baseline__,maybe,yes,no,no
sub-9355_ses-month24__,yes,yes,yes,yes
sub-9356_ses-baseline__,yes,yes,yes,yes
sub-9356_ses-month24__,yes,yes,yes,yes
sub-9383_ses-month48__,yes,yes,yes,yes
sub-9411_ses-baseline__,yes,yes,yes,yes
sub-9414_ses-month48__,yes,yes,yes,yes
sub-9415_ses-baseline__,yes,yes,yes,yes
sub-9421_ses-month48__,yes,yes,yes,yes
sub-9444_ses-month48__,yes,yes,yes,yes
sub-9469_ses-baseline__,yes,yes,yes,yes
sub-9483_ses-month48__,maybe,yes,no,no
sub-9490_ses-baseline__,yes,yes,yes,yes
sub-9499_ses-month24__,yes,yes,yes,yes
sub-9508_ses-baseline__,yes,yes,yes,yes
sub-9511_ses-baseline__,yes,yes,yes,yes
sub-9516_ses-baseline__,yes,yes,yes,yes
sub-9524_ses-baseline__,yes,yes,yes,yes
sub-9546_ses-month48__,yes,yes,yes,yes
sub-9564_ses-baseline__run-1,no,no,no,no
sub-9589_ses-baseline__,yes,yes,yes,yes
sub-9632_ses-baseline__,yes,yes,yes,yes
sub-9658_ses-month48__,yes,yes,yes,yes
sub-9661_ses-baseline__,yes,yes,yes,yes
