scan,rater_1,rater_2,rater_3,rater_4
sub-wrapL0225_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0225_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0225_ses-year3_acq-unknown_,yes,yes,yes,maybe
sub-wrapL0225_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0227_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0227_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0227_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0227_ses-year4_acq-unknown_,yes,yes,yes,yes
sub-wrapL0230_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0230_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0230_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0232_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0232_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0235_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0235_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0238_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0238_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0238_ses-year3_acq-unknown_,yes,yes,maybe,yes
sub-wrapL0238_ses-year4_acq-unknown_,yes,yes,yes,yes
sub-wrapL0240_ses-baseline_acq-unknown_,yes,yes,yes,maybe
sub-wrapL0241_ses-year2_acq-unknown_,yes,yes,yes,maybe
sub-wrapL0246_ses-baseline_acq-SPGR_,yes,yes,yes,maybe
sub-wrapL0247_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapL0248_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapL0248_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0254_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0260_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapL0260_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0263_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0263_ses-year3_acq-unknown_,yes,yes,yes,yes
sub-wrapL0264_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0266_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0266_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0266_ses-year3_acq-unknown_,yes,yes,yes,yes
sub-wrapL0266_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0273_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0276_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0281_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0281_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0281_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0283_ses-baseline_acq-unknown_,yes,no,yes,maybe
sub-wrapL0292_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0292_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0292_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0297_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0297_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0297_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0300_ses-year3_acq-SPGR_,yes,yes,yes,maybe
sub-wrapL0302_ses-baseline_acq-SPGR_,yes,yes,yes,maybe
sub-wrapL0302_ses-year2_acq-SPGR_,yes,yes,yes,maybe
sub-wrapL0302_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0303_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0309_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0309_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0309_ses-year3_acq-unknown_,yes,yes,yes,yes
sub-wrapL0312_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapL0321_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapL0325_ses-baseline_acq-SPGR_,yes,yes,yes,maybe
sub-wrapL0326_ses-baseline_acq-unknown_,yes,yes,yes,maybe
sub-wrapL0328_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapM0003_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapM0016_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapM0017_ses-baseline_acq-SPGR_,yes,yes,yes,no
sub-wrapM0017_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapM0017_ses-year3_acq-unknown_,yes,yes,yes,yes
sub-wrapM0018_ses-baseline_acq-SPGR_,yes,yes,yes,maybe
sub-wrapM0018_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrapM0018_ses-year3_acq-SPGR_,yes,yes,yes,maybe
sub-wrapM0018_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrapM0023_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapM0023_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrapM0025_ses-baseline_acq-unknown_,yes,yes,maybe,yes
sub-wrapM0025_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrapM0032_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrapM0032_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrapU0008_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapU0014_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrapU0025_ses-year2_acq-SPGR_,yes,yes,yes,yes
