scan,rater_1,rater_2,rater_3,rater_4
sub-6051_ses-baseline__,yes,yes,yes,yes
sub-6072_ses-baseline__,yes,yes,yes,yes
sub-6091_ses-baseline__,yes,yes,no,yes
sub-6092_ses-baseline__,yes,yes,no,yes
sub-6097_ses-baseline__,yes,yes,yes,yes
sub-6102_ses-baseline__,yes,yes,yes,yes
sub-6128_ses-baseline__,yes,yes,yes,yes
sub-6129_ses-baseline__,yes,yes,yes,yes
sub-6132_ses-baseline__,no,yes,no,no
sub-6143_ses-baseline__,yes,yes,yes,yes
sub-6148_ses-baseline__,yes,yes,yes,yes
sub-6154_ses-baseline__,yes,yes,no,no
sub-6163_ses-baseline__,yes,yes,yes,yes
sub-6168_ses-baseline__,yes,yes,no,no
sub-6173_ses-baseline__,yes,yes,yes,yes
sub-6175_ses-baseline__,yes,yes,yes,yes
sub-6180_ses-baseline__,yes,yes,yes,yes
sub-6182_ses-baseline__,yes,yes,yes,yes
sub-6184_ses-baseline__,yes,yes,yes,yes
sub-6187_ses-baseline__,yes,yes,yes,yes
sub-6196_ses-baseline__,no,yes,no,no
sub-6200_ses-baseline__run-2,yes,yes,yes,yes
sub-6206_ses-baseline__,yes,yes,yes,yes
sub-6209_ses-baseline__,yes,yes,yes,yes
sub-6210_ses-baseline__,yes,yes,yes,yes
sub-6230_ses-baseline__,no,yes,no,no
sub-6231_ses-baseline__,yes,yes,yes,yes
sub-6232_ses-baseline__,yes,yes,yes,yes
sub-6240_ses-baseline__,yes,yes,yes,yes
sub-6245_ses-baseline__,yes,yes,yes,yes
sub-6259_ses-baseline__,yes,yes,yes,yes
sub-6274_ses-baseline__,no,yes,yes,yes
sub-6276_ses-baseline__,yes,yes,no,yes
sub-6282_ses-baseline__,yes,yes,yes,yes
sub-6283_ses-baseline__,yes,yes,yes,yes
sub-6285_ses-baseline__,yes,yes,yes,yes
sub-6287_ses-baseline__,yes,yes,yes,yes
sub-6293_ses-baseline__run-2,yes,yes,yes,yes
sub-6293_ses-baseline__run-3,yes,yes,yes,yes
sub-6297_ses-baseline__,yes,yes,yes,yes
sub-6301_ses-baseline__,yes,yes,yes,yes
sub-6320_ses-baseline__,yes,yes,yes,yes
sub-6329_ses-baseline__,yes,yes,yes,yes
sub-6331_ses-baseline__,yes,yes,yes,yes
sub-6341_ses-baseline__,yes,yes,yes,yes
sub-6345_ses-baseline__,yes,yes,yes,yes
sub-6348_ses-baseline__,yes,yes,yes,yes
sub-6357_ses-baseline__,yes,yes,yes,yes
sub-6370_ses-baseline__,yes,yes,yes,yes
sub-6393_ses-baseline__,yes,yes,yes,yes
sub-6407_ses-baseline__,yes,yes,yes,yes
sub-6417_ses-baseline__,yes,yes,yes,yes
sub-6419_ses-baseline__,yes,yes,yes,yes
sub-6420_ses-baseline__,yes,yes,yes,yes
sub-6423_ses-baseline__,yes,yes,yes,yes
sub-6462_ses-baseline__,yes,yes,yes,yes
sub-6463_ses-baseline__,yes,yes,yes,yes
sub-6475_ses-baseline__,yes,yes,yes,yes
sub-6481_ses-baseline__,yes,yes,yes,yes
sub-6491_ses-baseline__,yes,yes,yes,yes
sub-6495_ses-baseline__,yes,yes,yes,yes
sub-6502_ses-baseline__,yes,yes,yes,yes
sub-6524_ses-baseline__,yes,yes,yes,yes
sub-6540_ses-baseline__,yes,yes,yes,yes
sub-6556_ses-baseline__,yes,yes,yes,yes
sub-6557_ses-baseline__,yes,yes,yes,yes
sub-6580_ses-baseline__,yes,yes,yes,yes
sub-6582_ses-baseline__,no,yes,no,yes
sub-6591_ses-baseline__,no,yes,no,yes
sub-6600_ses-baseline__,yes,yes,yes,yes
sub-6616_ses-baseline__,yes,yes,yes,yes
sub-6636_ses-baseline__,yes,yes,yes,yes
sub-6640_ses-baseline__,yes,yes,yes,yes
sub-6643_ses-baseline__,yes,yes,yes,yes
sub-6653_ses-baseline__,yes,yes,yes,yes
sub-6655_ses-baseline__,yes,yes,yes,yes
sub-6675_ses-baseline__,yes,yes,yes,yes
sub-6686_ses-baseline__,yes,yes,yes,yes
sub-6687_ses-baseline__,yes,yes,yes,yes
sub-6694_ses-baseline__,yes,yes,yes,yes
sub-6695_ses-baseline__,yes,yes,no,no
sub-6699_ses-baseline__,yes,yes,yes,yes
sub-6703_ses-baseline__,yes,yes,yes,yes
sub-6704_ses-baseline__,no,no,no,no
sub-6712_ses-baseline__,yes,yes,yes,yes
sub-6713_ses-baseline__,yes,yes,yes,yes
sub-6724_ses-baseline__,yes,yes,yes,yes
sub-6727_ses-baseline__,yes,yes,yes,yes
sub-6728_ses-baseline__,no,no,yes,no
sub-6737_ses-baseline__,yes,yes,yes,yes
sub-6738_ses-baseline__,yes,yes,yes,yes
sub-6742_ses-baseline__,no,yes,yes,no
sub-6746_ses-baseline__,yes,yes,yes,yes
sub-6755_ses-baseline__,yes,yes,yes,yes
sub-6761_ses-baseline__,yes,yes,yes,yes
sub-6771_ses-baseline__,yes,yes,yes,yes
sub-6777_ses-baseline__,yes,yes,yes,yes
sub-6781_ses-baseline__,yes,yes,yes,yes
sub-6784_ses-baseline__,yes,yes,yes,yes
sub-6786_ses-baseline__,yes,yes,yes,yes
sub-6790_ses-baseline__,yes,yes,yes,yes
sub-6794_ses-baseline__,yes,yes,yes,yes
sub-6796_ses-baseline__,yes,yes,yes,yes
sub-6798_ses-baseline__,yes,yes,yes,yes
sub-6802_ses-baseline__,yes,yes,yes,yes
sub-6808_ses-baseline__,yes,yes,yes,yes
sub-6809_ses-baseline__,yes,yes,yes,yes
