scan,rater_1,rater_2,rater_3,rater_4
sub-0613_ses-adnibaseline_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0613_ses-adnibaseline_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0618_ses-adni3year1_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0618_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0622_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0626_ses-adni2year3_acq-SPGR_run-2,yes,yes,yes,yes
sub-0626_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0631_ses-adnigomonth18_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0638_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0642_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0643_ses-adnigomonth36_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0656_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0656_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0658_ses-adni3screening_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0658_ses-adnigomonth12_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0658_ses-adnigomonth48_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0668_ses-adnigomonth18_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0669_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0671_ses-adni2year3_acq-SPGR_run-1,yes,yes,yes,yes
sub-0672_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0673_ses-adnigomonth48_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0675_ses-adnigomonth6_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0677_ses-adnibaseline_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0677_ses-adnigomonth24_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0677_ses-adnigomonth24_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0677_ses-adnigomonth6_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0692_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0708_ses-adnigomonth18_acq-MPRAGE_run-2,yes,yes,yes,yes
sub-0709_ses-adni2baseline_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0711_ses-adnigomonth12_acq-MPRAGE_run-1,yes,yes,yes,yes
sub-0715_ses-adni3screening_acq-MPRAGE_run-1,yes,yes,yes,yes
