scan,rater_1,rater_2,rater_3,rater_4
sub-6560_ses-baseline__,no,no,no,no
sub-6567_ses-baseline__,yes,yes,yes,yes
sub-6585_ses-baseline__,yes,yes,yes,yes
sub-6591_ses-baseline__,yes,yes,yes,yes
sub-6600_ses-baseline__,yes,yes,yes,yes
sub-6618_ses-baseline__,yes,yes,yes,yes
sub-6631_ses-baseline__,yes,yes,yes,yes
sub-6636_ses-baseline__,yes,yes,yes,yes
sub-6638_ses-baseline__,yes,yes,yes,yes
sub-6645_ses-baseline__,yes,yes,yes,yes
sub-6649_ses-baseline__,yes,yes,yes,yes
sub-6651_ses-baseline__,yes,yes,yes,yes
sub-6661_ses-baseline__,yes,yes,yes,yes
sub-6671_ses-baseline__,yes,yes,yes,yes
sub-6672_ses-baseline__,yes,yes,yes,yes
sub-6675_ses-baseline__,yes,yes,yes,yes
sub-6680_ses-baseline__,yes,yes,yes,yes
sub-6681_ses-baseline__,yes,yes,yes,yes
sub-6683_ses-baseline__,yes,yes,yes,yes
sub-6695_ses-baseline__,yes,yes,yes,yes
sub-6721_ses-baseline__,yes,yes,yes,yes
sub-6723_ses-baseline__,yes,yes,yes,yes
sub-6728_ses-baseline__,yes,yes,yes,yes
sub-6737_ses-baseline__,no,no,no,no
sub-6742_ses-baseline__,yes,yes,yes,yes
sub-6743_ses-baseline__,yes,yes,yes,yes
sub-6748_ses-baseline__,yes,yes,yes,yes
sub-6764_ses-baseline__,yes,yes,yes,yes
sub-6769_ses-baseline__,yes,yes,yes,yes
sub-6779_ses-baseline__,yes,yes,yes,yes
sub-6798_ses-baseline__,yes,yes,yes,yes
sub-6807_ses-baseline__,yes,yes,yes,yes
sub-6820_ses-baseline__,yes,yes,yes,yes
sub-6829_ses-baseline__,yes,yes,yes,yes
sub-6840_ses-baseline__,yes,yes,yes,yes
sub-6861_ses-baseline__,yes,yes,yes,yes
sub-6862_ses-baseline__,yes,yes,yes,yes
sub-6863_ses-baseline__,yes,yes,yes,yes
sub-6886_ses-baseline__,yes,yes,yes,yes
sub-6892_ses-baseline__,yes,yes,yes,yes
sub-6907_ses-baseline__,yes,yes,yes,yes
sub-6920_ses-baseline__,yes,yes,yes,yes
sub-6941_ses-baseline__,yes,yes,yes,yes
sub-6942_ses-baseline__,yes,yes,yes,yes
sub-6945_ses-baseline__,yes,yes,yes,yes
sub-6968_ses-baseline__,yes,yes,yes,yes
sub-6971_ses-baseline__,yes,yes,yes,yes
sub-6990_ses-baseline__,yes,yes,yes,yes
sub-6995_ses-baseline__,yes,yes,yes,yes
sub-7001_ses-baseline__,yes,yes,yes,yes
sub-7002_ses-baseline__,yes,yes,yes,yes
sub-7011_ses-baseline__,yes,yes,yes,yes
sub-7014_ses-baseline__,yes,yes,yes,yes
sub-7019_ses-baseline__,yes,yes,yes,yes
sub-7029_ses-baseline__,yes,yes,yes,yes
sub-7037_ses-baseline__,no,no,no,no
sub-7048_ses-baseline__,yes,yes,no,no
sub-7059_ses-baseline__,yes,yes,no,no
sub-7061_ses-baseline__,yes,yes,yes,yes
sub-7066_ses-baseline__,yes,yes,yes,yes
sub-7070_ses-baseline__,yes,yes,yes,yes
sub-7078_ses-baseline__,yes,yes,yes,yes
sub-7086_ses-month24__,yes,yes,yes,yes
sub-7095_ses-baseline__,yes,yes,yes,yes
sub-7096_ses-month24__,yes,yes,yes,yes
sub-7099_ses-baseline__,yes,yes,yes,yes
sub-7119_ses-baseline__,yes,yes,yes,yes
sub-7123_ses-baseline__,yes,yes,yes,yes
sub-7129_ses-baseline__,yes,yes,yes,yes
sub-7129_ses-month24__,yes,yes,yes,yes
sub-7134_ses-baseline__,yes,yes,yes,yes
sub-7140_ses-month24__,yes,yes,yes,yes
sub-7154_ses-baseline__,yes,yes,yes,yes
sub-7171_ses-baseline__,yes,yes,yes,yes
sub-7174_ses-baseline__,no,no,no,no
sub-7184_ses-baseline__,yes,yes,yes,yes
sub-7185_ses-baseline__,yes,yes,yes,yes
sub-7186_ses-baseline__,yes,yes,yes,yes
sub-7190_ses-baseline__,yes,yes,yes,yes
sub-7192_ses-baseline__,yes,yes,yes,yes
sub-7198_ses-month24__,yes,yes,yes,yes
sub-7200_ses-baseline__,yes,yes,yes,yes
sub-7201_ses-month24__,no,no,no,no
sub-7210_ses-month24__,yes,yes,yes,yes
sub-7214_ses-baseline__,yes,yes,yes,yes
sub-7215_ses-baseline__,yes,yes,yes,yes
sub-7218_ses-baseline__,yes,yes,yes,yes
sub-7220_ses-baseline__,yes,yes,yes,yes
sub-7222_ses-baseline__,yes,yes,yes,yes
sub-7229_ses-baseline__,yes,yes,yes,yes
sub-7233_ses-month24__,yes,yes,yes,yes
sub-7235_ses-baseline__,yes,yes,yes,yes
sub-7240_ses-baseline__,yes,yes,yes,yes
sub-7242_ses-baseline__,yes,yes,yes,yes
sub-7245_ses-baseline__,yes,yes,yes,yes
sub-7246_ses-baseline__,yes,yes,yes,yes
sub-7248_ses-baseline__,yes,yes,yes,yes
sub-7263_ses-month24__,yes,yes,yes,yes
sub-7270_ses-baseline__,yes,yes,yes,yes
sub-7272_ses-month24__,no,no,no,no
sub-7273_ses-baseline__,yes,yes,yes,yes
sub-7275_ses-month24__,yes,yes,yes,yes
sub-7277_ses-baseline__,yes,yes,yes,yes
sub-7277_ses-month24__,maybe,yes,yes,yes
sub-7280_ses-baseline__,yes,yes,yes,yes
sub-7283_ses-baseline__,yes,yes,yes,yes
sub-7293_ses-baseline__,no,no,no,no
sub-7295_ses-month24__,yes,yes,yes,yes
sub-7297_ses-month24__,yes,yes,yes,yes
sub-7305_ses-baseline__,no,no,no,no
sub-7306_ses-month24__,yes,yes,yes,yes
sub-7313_ses-baseline__,yes,yes,yes,yes
sub-7314_ses-baseline__,no,no,no,no
sub-7314_ses-month24__,no,no,no,no
sub-7322_ses-month24__,yes,yes,yes,yes
