scan,rater_1,rater_2,rater_3,rater_4
sub-6274_ses-baseline__,maybe,yes,no,no
sub-6278_ses-baseline__,yes,yes,yes,yes
sub-6289_ses-baseline__,no,no,no,no
sub-6293_ses-baseline__run-2,no,no,no,no
sub-6293_ses-baseline__run-3,maybe,no,no,no
sub-6303_ses-baseline__,yes,yes,yes,yes
sub-6304_ses-baseline__,no,no,no,no
sub-6342_ses-baseline__,maybe,no,no,yes
sub-6352_ses-baseline__,no,no,no,no
sub-6363_ses-baseline__,yes,yes,yes,yes
sub-6371_ses-baseline__,no,no,no,no
sub-6379_ses-baseline__,yes,yes,yes,yes
sub-6383_ses-baseline__,yes,yes,yes,yes
sub-6384_ses-baseline__,yes,yes,yes,yes
sub-6386_ses-baseline__,yes,yes,yes,yes
sub-6389_ses-baseline__,no,no,no,no
sub-6394_ses-baseline__,yes,yes,yes,yes
sub-6397_ses-baseline__,no,no,no,no
sub-6409_ses-baseline__,no,no,no,no
sub-6412_ses-baseline__,no,no,no,no
sub-6417_ses-baseline__,no,no,no,no
sub-6419_ses-baseline__,no,no,no,no
sub-6426_ses-baseline__,yes,yes,yes,yes
sub-6470_ses-baseline__,yes,yes,yes,yes
sub-6478_ses-baseline__,yes,yes,yes,yes
sub-6483_ses-baseline__,yes,yes,yes,yes
sub-6485_ses-baseline__,yes,yes,yes,yes
sub-6498_ses-baseline__,no,no,no,no
sub-6525_ses-baseline__,no,no,no,no
sub-6538_ses-baseline__,no,no,maybe,yes
sub-6546_ses-baseline__,yes,yes,yes,yes
sub-6550_ses-baseline__,no,no,no,no
sub-6554_ses-baseline__,yes,yes,yes,yes
sub-6555_ses-baseline__,yes,yes,yes,yes
sub-6560_ses-baseline__,no,no,no,no
sub-6561_ses-baseline__,yes,yes,yes,yes
sub-6569_ses-baseline__,maybe,yes,no,no
sub-6585_ses-baseline__,maybe,no,no,no
sub-6586_ses-baseline__,yes,yes,yes,yes
sub-6594_ses-baseline__,no,no,no,no
sub-6602_ses-baseline__,yes,yes,yes,yes
sub-6611_ses-baseline__,yes,yes,yes,yes
sub-6624_ses-baseline__,yes,yes,yes,yes
sub-6628_ses-baseline__,yes,yes,yes,yes
sub-6655_ses-baseline__,yes,yes,yes,yes
sub-6665_ses-baseline__,yes,no,yes,yes
sub-6675_ses-baseline__,no,no,no,no
sub-6686_ses-baseline__,maybe,yes,yes,yes
sub-6699_ses-baseline__,maybe,yes,yes,yes
sub-6705_ses-baseline__,yes,yes,yes,yes
sub-6711_ses-baseline__,no,yes,yes,yes
sub-6712_ses-baseline__,no,yes,no,no
sub-6723_ses-baseline__,yes,yes,yes,yes
sub-6735_ses-baseline__,yes,yes,yes,yes
sub-6741_ses-baseline__,maybe,no,no,no
sub-6749_ses-baseline__,yes,yes,yes,yes
sub-6772_ses-baseline__,yes,yes,yes,yes
sub-6795_ses-baseline__,no,no,no,no
sub-6813_ses-baseline__,no,no,no,no
